time,lat,long,NO2,name,wind_speed3,temperature3,satellite_NO23,road_density3,relative_humidity3,pressure3,population_density3,pblh3,NDVI3,dpt3
2019-01-01,21.0491,105.8831,,NVC,4.567864533128409,11.102448825178476,5.7397104112833615e-05,2468.4455292800376,66.63022666141904,102794.15220905172,83.34461556162152,422.3016936203529,0.1554887374413424,5.907086206896577
2019-01-02,21.0491,105.8831,,NVC,3.564422681413848,12.109522424895188,5.7397104112833615e-05,2468.4455292800376,65.3800567100788,102697.84967672414,83.34461556162152,558.8949458681304,0.38230545356355866,2.6302349137931134
2019-01-03,21.0491,105.8831,41.3104,NVC,2.882439769547561,13.049761278875945,5.7397104112833615e-05,2468.4455292800376,69.04380587873787,102451.82947198275,83.34461556162152,326.0698294804014,0.38230545356355866,5.901756465517271
2019-01-04,21.0491,105.8831,39.37920417,NVC,2.75041414951456,15.53567287839692,5.7397104112833615e-05,2468.4455292800376,78.36197557120488,102179.38846982758,83.34461556162152,219.11946000724004,0.38230545356355866,8.983648706896572
2019-01-05,21.0491,105.8831,39.90187917,NVC,3.077886441658283,17.66171672426421,5.7397104112833615e-05,2468.4455292800376,75.79183565337082,102071.05953663791,83.34461556162152,295.5507980872845,0.38230545356355866,12.48689655172416
2019-01-06,21.0491,105.8831,30.00824583,NVC,1.539674582152531,16.761800897532495,5.7397104112833615e-05,2468.4455292800376,71.36976044753501,102017.63685344828,83.34461556162152,270.19917770911906,0.38230545356355866,11.108801724137956
2019-01-07,21.0491,105.8831,38.8811625,NVC,3.401911151820216,19.097804497028218,5.7397104112833615e-05,2468.4455292800376,72.44572843354324,101927.16998922414,83.34461556162152,415.184142014076,0.38230545356355866,12.255732758620718
2019-01-08,21.0491,105.8831,23.5602625,NVC,4.404057996026401,14.13207902579472,5.7397104112833615e-05,2468.4455292800376,74.31230110957705,102125.48572198275,83.34461556162152,293.21168360216865,0.38230545356355866,10.891612068965538
2019-01-09,21.0491,105.8831,17.66202917,NVC,3.593900302360798,13.025935173034668,5.7397104112833615e-05,2468.4455292800376,76.58481939907732,102162.33001077586,83.34461556162152,266.8602821087015,0.38230545356355866,8.314650862068985
2019-01-10,21.0491,105.8831,22.33865417,NVC,2.388327376595859,16.218430025824183,5.7397104112833615e-05,2468.4455292800376,79.65287570295662,101846.0390625,83.34461556162152,175.8871701996902,0.38230545356355866,10.07930387931037
2019-01-11,21.0491,105.8831,38.9171875,NVC,2.830415051558922,19.366014085966967,5.7397104112833615e-05,2468.4455292800376,78.72726966594827,101785.7338362069,83.34461556162152,242.63337076121363,0.38230545356355866,14.58862284482762
2019-01-12,21.0491,105.8831,42.94177917,NVC,2.051421202462295,18.715627736058728,5.7397104112833615e-05,2468.4455292800376,80.6721349255792,101737.83566810343,83.34461556162152,308.1344394026132,0.38230545356355866,12.908743534482785
2019-01-13,21.0491,105.8831,40.98890833,NVC,1.853854253374297,18.41789771770609,5.7397104112833615e-05,2468.4455292800376,84.92967092579809,101720.5228987069,83.34461556162152,175.3429817988955,0.38230545356355866,14.817905172413814
2019-01-14,21.0491,105.8831,48.20266667,NVC,2.4629821612917144,18.62621859846444,5.7397104112833615e-05,2468.4455292800376,76.07225220778892,101682.60398706896,83.34461556162152,245.2790180074757,0.38230545356355866,14.291366379310364
2019-01-15,21.0491,105.8831,47.01025417,NVC,4.988427934975459,15.766870104033371,5.7397104112833615e-05,2468.4455292800376,71.02703857421875,102004.62688577586,83.34461556162152,553.2236675393992,0.38230545356355866,12.260672413793117
2019-01-16,21.0491,105.8831,21.04400417,NVC,3.8603706442076575,13.869501508515455,5.7397104112833615e-05,2468.4455292800376,66.25950464709052,102240.83512931036,83.34461556162152,454.6580315951644,0.38230545356355866,6.0766637931034815
2019-01-17,21.0491,105.8831,32.21331667,NVC,3.209336913865188,13.630245702020051,5.7397104112833615e-05,2468.4455292800376,65.82479384849812,102243.43453663791,83.34461556162152,541.123580406452,0.2616916545506181,6.1388426724138085
2019-01-18,21.0491,105.8831,56.01904167,NVC,1.8207053562690472,15.065124380177464,5.7397104112833615e-05,2468.4455292800376,70.98994472109038,101914.78987068964,83.34461556162152,409.8386767157193,0.38230545356355866,6.338758620689667
2019-01-19,21.0491,105.8831,70.90895,NVC,1.5765413991336166,17.798492497411267,5.7397104112833615e-05,2468.4455292800376,84.53465770852976,101636.99461206896,83.34461556162152,318.5438905913254,0.38230545356355866,13.058019396551746
2019-01-20,21.0491,105.8831,61.71862917,NVC,5.5237964268388415,18.006823704160492,5.7397104112833615e-05,2468.4455292800376,77.2475435980435,101905.19719827586,83.34461556162152,437.4696802599677,0.38230545356355866,16.189321120689684
2019-01-21,21.0491,105.8831,30.25038333,NVC,4.414965333609746,14.901781871401033,5.7397104112833615e-05,2468.4455292800376,64.1750287023084,102372.1635237069,83.34461556162152,681.491995975889,0.38230545356355866,7.468437500000032
