time,lat,long,NO2_x,name,wind_speed1,temperature1,satellite_NO21,road_density1,relative_humidity1,pressure1,population_density1,pblh1,NDVI1,dpt1,NO2_y,wind_speed2,temperature2,satellite_NO22,road_density2,relative_humidity2,pressure2,population_density2,pblh2,NDVI2,dpt2,NO2,wind_speed3,temperature3,satellite_NO23,road_density3,relative_humidity3,pressure3,population_density3,pblh3,NDVI3,dpt3
2019-01-01,21.0491,105.8831,,NVC,4.664360523223877,11.082578086853028,5.9532094868524696e-05,2988.391064453125,66.62127838134765,102796.1453125,37.33873100280762,403.7637634277344,0.1470151916146278,5.901500000000032,,4.63313337472769,11.087558893057016,5.897801610323714e-05,2899.0453256460337,66.60024026724008,102795.50240384616,67.18410741365872,414.92914522611176,0.1501893590276058,5.902346153846181,,4.567864533128409,11.102448825178476,5.7397104112833615e-05,2468.4455292800376,66.63022666141904,102794.15220905172,83.34461556162152,422.3016936203529,0.1554887374413424,5.907086206896577
2019-01-02,21.0491,105.8831,,NVC,3.612390947341919,12.098230743408203,5.9532094868524696e-05,2988.391064453125,65.6204345703125,102700.8890625,37.33873100280762,560.0082397460938,0.3383445143699646,2.6482625000000097,,3.599898136579073,12.10656943688026,5.897801610323714e-05,2899.0453256460337,65.43258960430438,102699.77043269233,67.18410741365872,559.8951556865985,0.3568086629876723,2.640293269230776,,3.564422681413848,12.109522424895188,5.7397104112833615e-05,2468.4455292800376,65.3800567100788,102697.84967672414,83.34461556162152,558.8949458681304,0.3823054535635586,2.6302349137931134
2019-01-03,21.0491,105.8831,41.3104,NVC,2.912235450744629,13.01299057006836,5.9532094868524696e-05,2988.391064453125,69.28716735839843,102454.60625,37.33873100280762,321.8082763671875,0.3383445143699646,5.876287500000035,41.3104,2.885621896156898,13.022890677818886,5.897801610323714e-05,2899.0453256460337,69.24139873798077,102453.65204326923,67.18410741365872,318.8521259014423,0.3568086629876723,5.887149038461569,41.3104,2.882439769547561,13.049761278875945,5.7397104112833615e-05,2468.4455292800376,69.04380587873787,102451.82947198275,83.34461556162152,326.0698294804014,0.3823054535635586,5.901756465517271
2019-01-04,21.0491,105.8831,39.37920417,NVC,2.7742588996887205,15.509278106689454,5.9532094868524696e-05,2988.391064453125,78.67670135498047,102182.15,37.33873100280762,192.20762939453124,0.3383445143699646,8.980662500000017,39.37920417,2.7605882607973538,15.51571273803711,5.897801610323714e-05,2899.0453256460337,78.57543064997746,102181.1502403846,67.18410741365872,198.21617009089545,0.3568086629876723,8.986985576923097,39.37920417,2.75041414951456,15.53567287839692,5.7397104112833615e-05,2468.4455292800376,78.36197557120488,102179.38846982758,83.34461556162152,219.11946000724004,0.3823054535635586,8.983648706896572
2019-01-05,21.0491,105.8831,39.90187917,NVC,3.130343151092529,17.6614559173584,5.9532094868524696e-05,2988.391064453125,75.86524658203125,102073.5296875,37.33873100280762,290.4759460449219,0.3383445143699646,12.47120000000001,39.90187917,3.1066644191741943,17.663117775550255,5.897801610323714e-05,2899.0453256460337,75.82636378361629,102072.65564903848,67.18410741365872,293.12186138446515,0.3568086629876723,12.474230769230788,39.90187917,3.077886441658283,17.66171672426421,5.7397104112833615e-05,2468.4455292800376,75.79183565337082,102071.05953663791,83.34461556162152,295.5507980872845,0.3823054535635586,12.48689655172416
2019-01-06,21.0491,105.8831,30.00824583,NVC,1.4589202880859375,16.763220977783202,5.9532094868524696e-05,2988.391064453125,71.68600006103516,102020.834375,37.33873100280762,272.0579345703125,0.3383445143699646,11.394250000000024,30.00824583,1.4831040364045365,16.760594294621395,5.897801610323714e-05,2899.0453256460337,71.56103926438551,102019.61358173077,67.18410741365872,271.61885892427887,0.3568086629876723,11.278480769230796,30.00824583,1.539674582152531,16.761800897532495,5.7397104112833615e-05,2468.4455292800376,71.36976044753501,102017.63685344828,83.34461556162152,270.19917770911906,0.3823054535635586,11.108801724137956
2019-01-07,21.0491,105.8831,38.8811625,NVC,3.415606594085693,19.099090576171875,5.9532094868524696e-05,2988.391064453125,72.55775909423828,101929.43125,37.33873100280762,396.8078552246094,0.3383445143699646,12.302250000000038,38.8811625,3.4217536449432373,19.097563670231747,5.897801610323714e-05,2899.0453256460337,72.50272252009465,101928.67728365384,67.18410741365872,412.3643235426683,0.3568086629876723,12.267788461538496,38.8811625,3.401911151820216,19.097804497028218,5.7397104112833615e-05,2468.4455292800376,72.44572843354324,101927.16998922414,83.34461556162152,415.184142014076,0.3823054535635586,12.255732758620718
2019-01-08,21.0491,105.8831,23.5602625,NVC,4.343322372436523,14.136684608459472,5.9532094868524696e-05,2988.391064453125,74.36942291259766,102127.81875,37.33873100280762,290.36541748046875,0.3383445143699646,10.887550000000022,23.5602625,4.373268200800969,14.13144588470459,5.897801610323714e-05,2899.0453256460337,74.3505378136268,102126.99098557692,67.18410741365872,282.15264188326324,0.3568086629876723,10.885057692307711,23.5602625,4.404057996026401,14.13207902579472,5.7397104112833615e-05,2468.4455292800376,74.31230110957705,102125.48572198275,83.34461556162152,293.21168360216865,0.3823054535635586,10.891612068965538
2019-01-09,21.0491,105.8831,17.66202917,NVC,3.655538511276245,13.01372470855713,5.9532094868524696e-05,2988.391064453125,76.71084136962891,102164.746875,37.33873100280762,264.7974548339844,0.3383445143699646,8.36997500000001,17.66202917,3.625691138781034,13.016470982478214,5.897801610323714e-05,2899.0453256460337,76.66995356633113,102163.89783653848,67.18410741365872,265.1700697678786,0.3568086629876723,8.348298076923093,17.66202917,3.593900302360798,13.025935173034668,5.7397104112833615e-05,2468.4455292800376,76.58481939907732,102162.33001077586,83.34461556162152,266.8602821087015,0.3823054535635586,8.314650862068985
2019-01-10,21.0491,105.8831,22.33865417,NVC,2.4441545963287354,16.217544937133788,5.9532094868524696e-05,2988.391064453125,79.72925567626953,101848.05625,37.33873100280762,187.1722381591797,0.3383445143699646,10.06226250000002,22.33865417,2.4082772731781006,16.212959729708157,5.897801610323714e-05,2899.0453256460337,79.746947655311,101847.49158653848,67.18410741365872,180.8296238825872,0.3568086629876723,10.074370192307716,22.33865417,2.388327376595859,16.218430025824183,5.7397104112833615e-05,2468.4455292800376,79.65287570295662,101846.0390625,83.34461556162152,175.8871701996902,0.3823054535635586,10.07930387931037
